,Unnamed: 0,Cd,name,num_Movie,filmos,num_Movie_edited,difference
41,41,20332862,정윤하,12,"['그것만이 내 세상', '내안의 그놈', '변신', '광대들: 풍문조작단', '백두산', '#아이엠히어', '싱크홀', '장르만 로맨스', '유체이탈자', '비상선언', '공조2: 인터내셔날', '자백']",12,0
42,42,20333335,오혜원,3,"['그것만이 내 세상', '타짜: 원 아이드 잭', '#살아있다']",3,0
43,43,20341054,류제승,4,"['그것만이 내 세상', '신과함께-인과 연', '시동', '내가 죽던 날']",4,0
44,44,20336047,권귀빈,6,"['그것만이 내 세상', '사바하', '벌새', '82년생 김지영', '종이꽃', '니 부모 얼굴이 보고 싶다']",6,0
45,45,20066616,백현진,7,"['그것만이 내 세상', '변산', '상류사회', '삼진그룹 영어토익반', '경관의 피', '브로커', '고속도로 가족']",7,0
46,46,20111220,유정호,13,"['그것만이 내 세상', '궁합', '버닝', '죄 많은 소녀', '난폭한 기록', '타짜: 원 아이드 잭', '타짜: 원 아이드 잭', '양자물리학', '해치지않아', '남산의 부장들', '이웃사촌', '방법: 재차의', '보이스']",12,1
47,47,20338367,김서원,6,"['그것만이 내 세상', '골든슬럼버', '그대 이름은 장미', '우상', '나의 특별한 형제', '돌멩이']",6,0
48,48,10004308,김병춘,5,"['그것만이 내 세상', '비스트', '소리꾼', '스웨그', '강릉']",5,0
49,49,20315316,김현정,3,"['그것만이 내 세상', '흥부: 글로 세상을 바꾼 자', '장르만 로맨스']",3,0
50,50,20338130,김상욱,10,"['그것만이 내 세상', '흥부: 글로 세상을 바꾼 자', '상류사회', '돈', '나쁜 녀석들: 더 무비', '결백', '강철비2: 정상회담', '경관의 피', '범죄도시2', '올빼미']",10,0
51,51,10025511,맷 데이먼,4,"['다운사이징', '포드 V 페라리', '스틸워터', '라스트 듀얼: 최후의 결투']",4,0
52,52,10077417,크리스틴 위그,2,"['다운사이징', '원더 우먼 1984']",2,0
53,53,10077744,크리스토프 왈츠,2,"['다운사이징', '알리타: 배틀 엔젤']",2,0
54,54,20114852,제이슨 서디키스,2,"['다운사이징', '앵그리 버드 2: 독수리 왕국의 침공']",2,0
55,55,10090971,히로세 스즈,4,"['쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?', '라플라스의 마녀', '루팡 3세: 더 퍼스트', '라스트 레터']",4,0
56,56,20270249,스다 마사키,4,"['쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?', '양지의 그녀', '꽃다발 같은 사랑을 했다', '실: 인연의 시작']",4,0
57,57,10027360,미야노 마모루,6,"['쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?', '문호 스트레이독스 [데드 애플]', '극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람', '극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람', '프리! 더 파이널 스트로크 전편', '프리! 더 파이널 스트로크 후편']",6,0
58,58,10019472,딜런 오브라이언,2,"['메이즈 러너: 데스 큐어', '플래시백']",2,0
59,59,10080483,토마스 생스터,1,['메이즈 러너: 데스 큐어'],1,0
60,60,10073877,카야 스코델라리오,3,"['메이즈 러너: 데스 큐어', '크롤', '레지던트 이블: 라쿤시티']",3,0
61,61,20215846,이기홍,1,['메이즈 러너: 데스 큐어'],1,0
62,62,10001200,게리 올드만,5,"['다키스트 아워', '헌터 킬러', '레옹 디 오리지널', '맹크', '크라이시스']",5,0
63,63,10077996,크리스틴 스콧 토마스,2,"['다키스트 아워', '툼레이더']",2,0
64,64,10060784,릴리 제임스,3,"['다키스트 아워', '맘마미아!2', '예스터데이']",3,0
65,65,10031120,벤 멘델슨,5,"['다키스트 아워', '레디 플레이어 원', '후드', '캡틴 마블', '베이비티스']",5,0
66,66,10039309,스티븐 딜레인,2,"['다키스트 아워', '프로페서 앤 매드맨']",2,0
67,67,10054654,은지원,1,['젝스키스 에이틴'],1,0
68,68,20296671,이재진,1,['젝스키스 에이틴'],1,0
69,69,20296566,장수원,1,['젝스키스 에이틴'],1,0
70,70,20296567,김재덕,1,['젝스키스 에이틴'],1,0
71,71,20296565,강성훈,1,['젝스키스 에이틴'],1,0
72,72,10050125,사쿠라 아야네,3,"['주문은 토끼입니까?? ~디어 마이 시스터~', '뱅드림! 필름 라이브 세컨드 스테이지', '극장판 5등분의 신부']",3,0
73,73,20293001,미나세 이노리,3,"['주문은 토끼입니까?? ~디어 마이 시스터~', '극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아', '극장판 5등분의 신부']",3,0
74,74,10079012,타네다 리사,1,['주문은 토끼입니까?? ~디어 마이 시스터~'],1,0
75,75,20293003,사토 사토미,1,['주문은 토끼입니까?? ~디어 마이 시스터~'],1,0
76,76,20293051,우치다 마아야,2,"['주문은 토끼입니까?? ~디어 마이 시스터~', '중2병이라도 사랑이 하고 싶어! 테이크 온 미']",2,0
77,77,20214706,토쿠이 소라,1,['주문은 토끼입니까?? ~디어 마이 시스터~'],1,0
78,78,20293052,무라카와 리에,1,['주문은 토끼입니까?? ~디어 마이 시스터~'],1,0
79,79,10087022,하야미 사오리,2,"['주문은 토끼입니까?? ~디어 마이 시스터~', '극장판 도라에몽: 진구의 보물섬']",2,0
