movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
20189425,발칙한 동거,,2017,20180115,장편,개봉,한국,,한국,,[{'peopleNm': '오재학'}],"[{'companyCd': '20126395', 'companyNm': '노바엔터테인먼트 '}]"
20178887,식스 빌로우,6 Below: Miracle on the Mountain,2017,20180125,장편,개봉,미국,"드라마,스릴러",미국,드라마,[{'peopleNm': '스캇 워프'}],[]
20189902,파도 여인 그리고 탱고 무삭제판,,2015,20180112,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '박갑종'}],"[{'companyCd': '19990083', 'companyNm': '(주)갑종무비필름'}]"
20178364,바스킨,BASKIN,2015,20180112,장편,개봉,터키,"공포(호러),판타지",터키,공포(호러),[{'peopleNm': '칸 에브레놀'}],[]
20189801,하고 싶은 여자들,Kudokenaionna,2015,20180112,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '나가에 타카미'}],[]
20189822,그룹섹스: 미모의 여직원,Kyouno Seishori Touban,2016,20180112,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '유이치 사카모토'}],[]
20189442,아들의 아내 무삭제,,2017,20180111,장편,개봉,한국,,한국,,[{'peopleNm': '김재승'}],"[{'companyCd': '20126395', 'companyNm': '노바엔터테인먼트 '}]"
20189361,아내들의 속사정,,2017,20180111,장편,개봉,한국,,한국,,"[{'peopleNm': '최석원'}, {'peopleNm': '최석원'}]","[{'companyCd': '20100142', 'companyNm': '(주)씨맥스커뮤니케이션즈'}]"
20176654,회사사장과 계약사원,Seikosho,2016,20180111,장편,개봉,일본,성인물(에로),일본,성인물(에로),[],[]
20179286,하이큐!! 콘셉트의 싸움,Haikyu!! The movie: The Battle of Concepts,2017,20180111,장편,개봉,일본,애니메이션,일본,애니메이션,[{'peopleNm': '미츠나카 스스무'}],[]
20176652,친목회의 변태 투어,The parvent bus tour,2016,20180111,장편,개봉,일본,성인물(에로),일본,성인물(에로),[],[]
20176632,연하남과 러브호텔,Couple of get bored,2016,20180111,장편,개봉,일본,성인물(에로),일본,성인물(에로),[],[]
20173609,엄마친구의 섹스 무삭제판,,2017,20180111,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최강호'}],"[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20189721,색욕에 무너진 이웃집 아내,Neighbor's beautiful wife,2017,20180111,장편,개봉,일본,드라마,일본,드라마,[{'peopleNm': '오자키 히로코우지'}],[]
