index,companyCd,companyNm,companyNmEn,companyPartNames,ceoNm,filmoNames
0,20199861,주식회사 고래픽처스,,제작사,김주경,"찬란한 나의 복수,뜨거운 피,뜨거운 피: 디 오리지널"
1,20230301,엠에스엔케이 엔터테인먼트 유한책임회사,MSNK ENTERTAINMENT LLC.,제작사,나의정,
2,20230137,(주)아이오케이스튜디오,,제작사,"양재원, 김양연",
3,20230136,미디어톡,,제작사,유정현,소녀작가 입문기
4,20124975,(주)미디어톡,,제작사,유정현,
5,20203841,원더필름,,제작사,윤서영,숨비소리
6,20230135,미디어나무(주),MediaNamu. Inc,"제작사,배급사",김성환,"수라,오늘 출가합니다,졸업"
7,20230134,SDM스튜디오 ,,,,소원을 빨아봐
8,20230281,(주)억만장자픽처스,,"배급사,수입사","우지만, 김대억",
9,20230133,빅뱅컨텐츠(주),,제작사,김용덕,
0,20230261,(주)더블몬스터즈,Double Monsters Inc.,"제작사,배급사",이광범,
1,20187481,엠에스케이컨텐츠,,제작사,최명효,"2퍼센트,원죄"
2,20061701,(주)에스아이미디어그룹,,제작사,정종인,
3,20125155,(주)엘지유플러스,,"제작사,배급사,수입사,부가시장",이용재,"드래곤 라이더,필름스타 인 리버풀,커뮤터,기억의 밤,슬립리스: 크리미널 나이트,비틀스: 에잇 데이즈 어 위크 – 투어링 이어즈,스킵트레이스: 합동수사,몽 루아,셜록: 유령신부,더 기프트,미쓰 와이프,미스터 앙리와의 조금(?!) 특별한 동거,어 워: 라스트 미션,얼굴도둑,첫경험만 8번째,제 7기사단,베스트 오브 미,이미테이션 게임,캐치헬,아메리칸 저스티스,제보자,위키드 블러드,블러드 리벤지,왓 이프,애프터 파티,침입자들 : 로봇의 역습,라스트 에너미,에비던스,오피서 다운,테러라인,섹슈얼 컴펄전,히든서스펙트,크레이브,파이터: 죽음의 토너먼트,와이 스톱 나우,세븐 싸이코패스,러브레이스,스트레인저 인사이드,쉐프,디 엔드: 인류 최후의 날,모터웨이: 분노의 질주,카지노를 털어라,더 샤이닝 2012 ,퍼즐러브,도노반스 에코,위기의 남자들,트러블 위드 블리스,건,파이어 : 테러와의 전쟁"
4,20230241,(주)고남동,,,,낭만 캠퍼스
5,20230132,뉴크마그(주),newkmag,"제작사,배급사,수입사",오금이,
6,20230141,케이씨벤처스 주식회사,,제공,김승현,댓글부대(가제)
7,20126515,(주)영화사 월광,MOONLIGHT FILM,제작사,국수란,"승부,리멤버,클로젯,돈,공작,보안관,검사외전,군도: 민란의 시대"
8,20218082,(주)트릭스터,,제작사,이지영,젠틀맨
9,20239673,(주)포지드필름스,"FORGED FILMS Co.,Ltd",제작사,"김새미, 나홍진",페이스
0,20230131,쇼트케이크(주),SHOTCAKE Corp.,제작사,"한준희, 김명진",킬링 로맨스
1,20205862,(주)시네포엠,,"제작사,배급사",김현옥,
2,20230130,마리솔(주),,"제작사,배급사",정은미,
3,20229641,풋인라이트,,배급사,이승재,홈스쿨
4,20230224,나로,,제작사,오필진,
5,20230223,빈볼픽쳐스,,"제작사,배급사",조현우,
6,20230222,(주)메다픽처스,,제작사,최태영,
7,20230221,워크하우스컴퍼니(주),,제작사,김영훈,리바운드
8,20061718,찬란,Challan Film,"제작사,배급사,수입사",이지혜,"베르히만 아일랜드,EO,클로즈,새를 사랑한 화가,패닉 런,메모리아,지옥의 화원,같은 속옷을 입는 두 여자,낮과 달,어쩌다 공주, 닭냥이 왕자를 부탁해!,아라시 20주년 투어 콘서트 5✕20,큐브,컴온 컴온,파리, 13구,패러렐 마더스,소피의 세계,엔드게임: 나는 킬러다,전장의 피아니스트,쁘띠 마망,여름날 우리,그린 나이트,7번째 날,리벤지 오브 파이어,시리얼 킬러: 로스토프의 인간백정,베르네 부인의 장미정원,원 세컨드,간호중,뉴 오더,좋은 사람,트립 투 그리스,#위왓치유,슈퍼노바,적호서생,디 아더 사이드,빛과 철,래시 컴 홈,100% 울프: 푸들이 될 순 없어,썸머 85,딥워터,#위왓치유,휴먼 보이스,끝없음에 관하여,그 여름, 가장 차가웠던,컴 애즈 유 아,피넛 버터 팔콘,가을의 마티네,페뷸러스,글로리아를 위하여,치어리딩 클럽,반교: 디텐션,주식회사 스페셜액터스,야구소녀,환상의 마로나,씨 피버,썸원 썸웨어,찬실이는 복도 많지,신의 은총으로,미드소마 감독판,미드소마,나와 언니와 셀린 디온,데스 체이싱,도둑들: 비트코인 전쟁,사채왕 페그,어떤 손님,장교와 스파이,킬러 스쿼드,토미리스: 전쟁의 여신,해피 해피 레스토랑 ,행복의 단추를 채우는 완벽한 방법,고흐, 영원의 문에서,체크 히어로,틴 스피릿,블라인드 멜로디,지구 최후의 밤,파리 에듀케이션,고양이 여행 리포트,콜드 워,고통을 못 느끼는 남자,완벽한 커플,엑스터시 다이어리,메리 셸리: 프랑켄슈타인의 탄생,철의 심장을 가진 남자,친애하는 우리 아이,파이널 포트레이트,더 스퀘어,햄스테드,유전,트립 투 스페인,판타스틱 우먼,두 개의 사랑,우리는 같은 꿈을 꾼다,시리아의 비가(悲歌): 들리지 않는 노래,폭력의 씨앗,잇 컴스 앳 나잇,고양이 케디,밤섬해적단 서울불바다, 딥워터 서바이벌,캘리포니아 타이프라이터,오직 사랑뿐,성 프란치스코,프란츠,파리의 밤이 열리면,세일즈맨,아뉴스 데이,퍼스널 쇼퍼,사랑의 시대,사랑은 부엉부엉,다가오는 것들,카페 소사이어티,선생님과 길고양이,매니페스토,뱅 갱: 모던 러브 스토리,비거 스플래쉬,하이-라이즈,소년 파르티잔,당신을 기다리는 시간,에브리띵 윌 비 파인,그녀, 잉그리드 버그만,사샤의 북극 대모험,소년,헝그리 하트,에덴: 로스트 인 뮤직,셀마,밤을 걷는 뱀파이어 소녀,트립 투 이탈리아,갓 헬프 더 걸,나의 사적인 여자친구,갈증,5일의 마중,질투,돌이킬 수 없는,마담 프루스트의 비밀정원,시베리안 에듀케이션,필로미나의 기적,오직 사랑하는 이들만이 살아남는다,영 앤 뷰티풀,블링 링,랄프 스테드먼 스토리: 이상한 나라의 친구들,사랑은 마법처럼,까미유 끌로델,어떤 여인의 고백,인 더 하우스,아이,애나,프랑스 다이어리,여친남친,신의 소녀들,미쓰 마마,테이크 쉘터 ,스시 장인: 지로의 꿈,엘 불리: 요리는 진행 중,훌리오와 에밀리아,폭풍의 언덕,점프 아쉰,르 아브르,트립 투 잉글랜드,치코와 리타,타이페이 카페 스토리,이브 생 로랑의 라무르,체 게바라: 1부 아르헨티나,체 게바라: 2부 게릴라,막스 마누스: 맨 오브 워,오퍼나지: 비밀의계단,비커밍 제인...총 171편"
9,20230202,봄봄콘텐츠,bombomcontents,제작사,김자영,감자전블루스
0,20230201,주식회사 영화사소요,SOYO FILM INC.,제작사,최종태,"불멸의 여자,사제로부터 온 편지"
1,20230129,유한책임회사 느루,,"제작사,배급사,수입사,상영업",정원석,
2,20230128,(주)브라더미디어,,"제작사,배급사,수입사",김상연,
3,20230127,스튜디오 기이현상,,제작사,구윤민,
4,20230124,(주)에스비엠엔이,"SBMNE Co.,Ltd.","제작사,배급사,수입사",서은경,
5,20230126,(주)넥슨코리아,,제공,이정헌,리바운드
6,20230185,신세기 유통,,"배급사,수입사",정진현,
7,20230125,주식회사 베이스캠프에이앤씨,"BASECAMP A&C Co., Ltd.","제작사,배급사,홍보사",이진성,
8,20230123,(주)스토리루프탑,,제작사,이민우,
9,20141348,써티세븐스디그리(주),"37th degree Co.,Ltd.","제작사,배급사",김형민,"어브로드,외톨이들"
0,20216342,(주)옥토버시네마,,제작사,김창열,드림
1,20230161,비에스엠픽쳐스,BSM picturs,제작사,박수민,
2,20111081,(주)스마일이엔티,Smile Ent.,"배급사,수입사",이성아,"옥수역귀신,극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,최면,바디 브로커,썰,도라에몽: 스탠바이미 2,O.J. 심슨 사건 파일,제인의 썸머,호텔 레이크,더 터닝 ,요가학원 : 죽음의 쿤달리니,엔딩스 비기닝스,어쩌다 아스널,1917,극장판 원피스 스탬피드,탈혼이진도: 자객의 기억,스킨,이케아 옷장에서 시작된 특별난 여행,0.0MHz,다시, 봄,뷰티풀 데이즈,여곡성,루이스,플로이,레오나르도 다 빈치,한낮의 유성,선생님!... 좋아해도 될까요?,월요일이 사라졌다,9/11,마음이 외치고 싶어해,빅 배드 폭스,저수지 게임,오즈: 신기한 마법가루,이스케이프 룸,풀 스피드,내 아내와 결혼해 주세요,내 이름은 꾸제트,인트루더: 낯선 침입자,빅 스카이,꼬마기사 트랭크,사우스포,필름시대사랑,극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,노아의 방주: 남겨진 녀석들,건 파이터,엑소시즘: 죽음의 소리,극장판 빰바라빤쮸: 바나나 왕국의 비밀,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,뮨: 달의 요정,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,추억의 마니,일곱난쟁이,극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~,극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~,몬스터 왕국,가부키초 러브호텔,꼬마 유령,마인드스케이프,프라이버시,저스틴,극장판 베르세르크: 황금 시대편 Ⅲ – 강림,해양경찰 마르코,잠베지아: 신비한 나무섬의 비밀,나우이즈굿 ,토르: 마법망치의 전설,프렌즈: 몬스터섬의비밀 ,그녀가 떠날 때,카르고,허트 로커,하울의 움직이는 성,센과 치히로의 행방불명,마녀배달부 키키,이웃집 토토로"
3,20141149,나도밤보 주식회사,NADOBAMBO,제작사,강서곤,"생활고死,전단지"
4,20239861,리바이브콘텐츠 주식회사,REVIVECONTENTS,"제작사,배급사","박성태, 정재훈","존 윅 4,상견니"
5,20229461,(주)바이포엠스튜디오,BY4MSTUDIO,"제작사,배급사,제공,공동제공",유귀선,"존 윅 4,네가 떨어뜨린 푸른 하늘,오늘 밤, 세계에서 이 사랑이 사라진다 해도,동감,데시벨"
6,20230122,디보프로덕션,DIVO PRODUCTION,제작사,윤희광,
7,20230021,괴짜집합소,sexy geek film factory,"제작사,배급사",배시진,
8,20158011,(주)브이에이스튜디오,VA Studio,"제작사,배급사,제작서비스-시각효과/특수효과,제작서비스-후반작업(VFX),프로덕션 서비스","최홍준, 이귀한","우리의 삶은 흔들리지 않는다,강철비,슈퍼 빼꼼: 스파이 대작전,7광구,만추,김종욱 찾기,시라노; 연애조작단,김복남 살인사건의 전말,맨발의 꿈,파주,해운대,크로싱,엠,우리들의 행복한 시간,맨발의 기봉이,형사 Duelist,자니 익스프레스"
9,20230102,주식회사 무암,MooAm Production,"제작사,홍보사",현해리,계약직만 9번 한 여자
0,20230101,주식회사 전씨네,,제작사,전창걸,떨
1,20230121,골드독엔터테인먼트(주),,"제작사,배급사",박재수,
2,20239680,(주)아리아 스튜디오,,"제작사,배급사,수입사,상영업",채수응,
3,20217242,공감,,제작사,이동욱,
4,20229111,(주)영화사바른,barunpictures,"제작사,배급사",김영호,"나를 찾아줘,두번할까요,다시, 봄,채비,클럽 파우스트"
5,20230081,부산관광공사,,상영업,이정실,
6,20160682,한국탐사저널리즘센터,The Korea center for investigative journalism,제작사,김용진,"월성,김복동,공범자들,7년-그들이 없는 언론,자백"
7,20230061,어비스 커뮤니케이션,,"제작사,배급사",김창래,
8,20203405,(주)영화사벌집,Hive Filmworks Inc.,"제작사,배급사,수입사,상영업",김동현,"치악산,아포리아,걸스 인 더 케이지,안나푸르나,만년이 지나도 변하지 않는 게 있어,없던 일,엽기적인 그녀"
