companyCd,companyNm,companyNmEn,companyPartNames,ceoNm,filmoNames
20102206,브래드그레이픽쳐스,Brad Grey Pictures,제작사,,무서운 영화 3
20102209,브래드자이온즈필름즈,Brad Zions Films,제작사,,
20102216,브랜디와인프로덕션즈,Brandywine Productions Ltd.,제작사,,에이리언 2 
20102220,브랜트앨런,Brant-Allen [us],제작사,,
20102260,브로드웨이비디오,Broadway Video,"제작사,배급사",,
20102506,브로드캐스팅에이전시,Broadcasting Agency,제작사,,
20103779,브룩스필름즈,Brooksfilms,"제작사,배급사",,"못말리는 드라큐라 ,더플라이 2,플라이"
20103966,브리드,Breath ,제작사,,
20102235,브리스톨베이프로덕션즈,Bristol Bay Productions,제작사,,"사하라,레이"
20103961,브리티쉬라이온필름코퍼레이션,British Lion Film Corporation ,"제작사,배급사",,"나이트 워치 ,핵 살인특급 "
20103363,브리티쉬브로드캐스팅코퍼레이션,British Broadcasting Corporation (BBC),"제작사,배급사",,"바이러스,심플 플랜,블랙독 ,미세스 브라운 ,레릭 ,쥬드 ,프리스트 ,랜드 앤 프리덤 ,심판"
20102246,브리티쉬스크린,British Screen,"제작사,배급사,제공",,"미라클 메이커,라이트하우스 ,아기자기파파 ,비포 더 레인 ,올란도 ,위험한 파티"
20102242,브리티쉬인터내셔널픽쳐스,British International Pictures,"제작사,배급사",,
20103089,브리티쉬컬럼비아필름,British Columbia Film,제작사,,더블 해피니스 
20102238,브리티쉬필름카운실,British Film Council,"제작사,배급사,제공",,"베니스의 상인,처칠,실비아,인 디스 월드"
20103060,브릴리언트아이디어그룹,Brilliant Idea Group (BIG),제작사,,
20102231,브릴스테인그레이엔터테인먼트,Brillstein-Grey Entertainment,"제작사,홍보사",,
20103062,브림스톤엔터테인먼트유한책임회사,Brimstone Entertainment LLC ,"제작사,배급사",,
20102345,브릿지+터널,Bridge + Tunnel,제작사,,
20104053,브릿지노스필름즈,Bridgnorth Films,"제작사,배급사",,
20103458,브링크필름즈,Brink Films,"제작사,배급사",,
20101566,브에나비스타,,기타,,"스위트 알라바마,빅트러블,루키,레인 오브 파이어,드래곤 플라이,드레곤 플라이,아이 엠 샘,로얄 테넌바움,몬스터 주식회사,프린세스 다이어리,아틀란티스 : 잃어버린 제국,크레이지/뷰티풀,리멤버 타이탄,토이 스토리 2,엔드 오브 데이즈,식스 센스,사이먼 버치 ,코만도 해밀턴,워터보이"
20102274,브에나비스타인터내셔널,Buena Vista International,"제작사,배급사",,"붉은 돼지,무간도2 - 혼돈의 시대 ,씨비스킷"
20102000,브에나비스타인터내셔널텔레비전,Buena Vista International Television,"제작사,배급사",,
20102280,브에나비스타픽쳐스,Buena Vista Pictures,"제작사,배급사",,"102 달마시안,13번째 전사,귀여운 여인,죽은 시인의 사회,에스포춘,스테이크 아웃"
20102579,브에나비스타홈엔터테인먼트,Buena Vista Home Entertainment (BVHE) ,"제작사,배급사",,
20102722,브이 탈랜트 필름 앤 비디오,V-Talent Film & Video,기타,,
20101826,브이&알 플래닝,V & R Planning,"제작사,배급사",,
20101385,브이씨엘 커뮤니케이션,VCL Communications GmbH,배급사,,
20101386,브이오엑스 3 필름,VOX 3 Films,제작사,,
20102175,블라인딩엣지픽쳐스,Blinding Edge Pictures,제작사,,
20101817,블랙마리아,Blackmaria,"제작사,배급사",,
20102664,블랙마이어인더스트리즈,Blackmire Industries,제작사,,
20103270,블랙스카이엔터테인먼트,Black Sky Entertainment ,제작사,,
20102165,블랙앤블러엔터테인먼트,Black and Blu Entertainment,제작사,,
20104030,블랙앤화이트 ,Black and White,제작사,,
20103124,블랙앤화이트프로덕션즈,Black & White Productions,제작사,,
20103404,블랙엔터테인먼트텔레비전,Black Entertainment Television (BET),"제작사,배급사",,
20102011,블랭크페이지프로덕션즈,Blank Page Productions,제작사,,
20102750,블럭투디스트리뷰션,Block 2 Distribution Limited,제작사,,
20102714,블럼이스라엘프로덕션즈,Blum Israel Productions,제작사,,
20103057,블로우업픽쳐스,Blow Up Pictures,"제작사,배급사",,
20102348,블루라이더픽쳐스,Blue Rider Pictures ,"제작사,배급사,제공",,공포의 데몬스 2
20103476,블루마크프로덕션즈,Bluemark Productions,제작사,,
20103291,블루매직픽쳐스,Blue Magic Pictures,제작사,,
20103909,블루무스필름즈,Blue Moose Films,제작사,,
20100425,블루버스 픽쳐스,BlueBus Pictures,제작사,정인봉 ,기다리다 미쳐
20101570,블루스카이스튜디오,Blue Sky Studios ,제작사,,"페르디난드,아이스 에이지 3: 공룡시대,아이스 에이지 2,로봇(애니)"
20102182,블루스카이스튜디오스,Blue Sky Studios,제작사,,
20103454,블루스카이에이비,Blue Sky AB,제작사,,
20103016,블루스트릭필름즈,Blue Streak Films ,제작사,,경찰서를 털어라 
20103398,블루아이즈프로덕션즈,Blueeyes Productions,"제작사,배급사",,
20103163,블루언더그라운드,Blue Underground,"제작사,배급사",,
20101871,블루터틀,Blue Turtle ,제작사,,
20102196,블루튤립,Blue Tulip,제작사,,
20102190,블루트레인프로덕션즈,Blue Train Productions,제작사,,
20102699,블리스픽쳐스,Bliss Pictures Limited,제작사,,맥덜
20102241,비겔/메일러필름즈,Bigel / Mailer Films,제작사,,
20100883,비공일프로젝트애니메이션,B01 Project Animation ,"제작사,기타",,
20103973,비디오 플래닝,Video Planning,"제작사,배급사",,
20103491,비디오필름,VideoFlims,제작사,,중앙역
20102861,비레그프로덕션즈,Bereg Productions,"제작사,배급사",,
20103666,비로드프로덕션즈,B. Lord Productions,제작사,,
20102424,비바 필름,Viva Films,"제작사,배급사",,
20102136,비버리디트로이트,Beverly Detroit,제작사,,
20102084,비버프로덕션즈,Beaver Productions,제작사,,
20101803,비보필름즈,Bibo Films,제작사,,
20103443,비브이인터내셔널픽쳐스,BV International Pictures,"제작사,배급사",,
20103699,비비씨내츄럴히스토리,BBC Natural History,제작사,,
20101934,비비씨필름즈,BBC Films,"제작사,배급사,제공",,"언 애듀케이션,이지 버츄,스쿠프,매치 포인트,마더,실비아,인 디스 월드,미라클 메이커,갓 앤 몬스터"
20100953,비손텍,,"제작사,기타",,표류일기
20103798,비수-엘,Visu-L,"제작사,배급사",,
20101986,비스카이비,BSkyB,"제작사,배급사",,
20102128,비씨필름즈,B.C. Films,제작사,,
20101398,비아 디지털,Via Digital,제작사,,리애니메이터: 좀비오 3
20101971,비아이엠,BIM,"제작사,배급사",,
20101399,비아콤 프로덕션,Viacom Productions Inc.,"제작사,배급사",,칼리포니아 
20102816,비앙카필름즈,Bianca Films,"제작사,배급사",,
20102698,비앤더블유필름즈,B&W Films Inc.,제작사,,
20102931,비앤에스크리에이션웍스하우스,B&S Creation Works House,제작사,,
20103883,비에스-아이 케이케이,BS-i K.K. ,"제작사,배급사",,
20101949,비에이프로덕션,B.A. Produktion,제작사,,
20103298,비엔티,BNT,"제작사,배급사",,
20100698,비엠,BM,배급사,,써클
20102288,비엠지펀하우스,BMG Funhouse,"제작사,배급사",,
20103560,비엣남 피쳐 필름 아이,Vietnam Feature Film I,기타,,
20102184,비엣남 피쳐 필름 에이전시,Vietnam Feature Film Agency,기타,,
20103667,비오비앤파트너즈,B.O.B. and Partners,"제작사,배급사",,"천왕지왕 2000,주성치의 가유희사 97"
20102041,비오에스디필름즈유한책임회사,BoSD Films LLC,제작사,,
