"","peopleNm","max_audiAcc","mean_audiAcc"
"872","차봉주",9639,9639
"873","차야놉 분프라콥",9508,9508
"874","찬드라세카란",9582,9582
"875","찰리 스티즈",98873,98873
"876","찰스 마틴 스미스",4317,4317
"877","채드 스타헬스키",959351,959351
"878","채리스 카스트로 스미스",97292,97292
"879","채밀결",8784,8784
"880","척 콘젤만",9800,9800
"881","천명관",90355,49939
"882","최국희",992722,868678.5
"883","최동훈",996161,996161
"884","최상훈",59397,59397
"885","최성현",910369,910369
"886","최소망",3453,3453
"887","최신규",854230,236509.4
"888","최원섭",97089,97089
"889","최윤태",8578,8578
"890","최은종",705,705
"891","최재훈",9846,5737.66666666667
"892","최정민",80572,80572
"893","최정열",869424,869424
"894","최종태",9854,9854
"895","최종학",8591,8591
"896","최하나",8200,8200
"897","추상미",3558,3558
"898","추창민",6282,6282
"899","츠츠미 유키히코",6798,4021
"900","츠키카와 쇼",9988,9037.5
"901","카나사키 타카오미",4932,4932
"902","카를로스 로페즈 에스트라다",76733,76733
"903","카를로스 살다나",57299,57299
"904","카말 반살",6187,6187
"905","카스텐 킬러리치",6144,4620.5
"906","카와나미 에이사쿠",7905,7375.5
"907","카와노 아야코",9831,9095.5
"908","카와마타 히로시",9216,9216
"909","카일 발다",992433,992433
"910","카키모토 코다이",9653,8284.5
"911","칸 울카이",7903,7903
"912","칼 멘데스",9092,9092
"913","캐리 솔로몬",9800,9800
"914","캐리 후쿠나가",981195,981195
"915","캐서린 비글로우",5770,5770
"916","캐스틸 랜던",9100,6660.5
"917","캐시 얀",95648,95648
"918","캘런 브런커",9021,9021
"919","캘리 애스버리",48488,48488
"920","캣 코이로",9509,9509
"921","케네스 브래너",64024,36683
"922","케빈 맥도널드",5978,5978
"923","케빈 콜쉬",92642,92642
"924","케이트 쇼트랜드",585956,585956
"925","켄 로치",7681,7681
"926","켄 마리노",3677,3677
"927","켈리 레인하르트",3666,3666
"928","코고나다",8860,8860
"929","코다마 테츠로",6698,6698
"930","코린 하디",998774,998774
"931","콘래드 베논",92845,49089.5
"932","콜린 트레보로우",870575,870575
"933","쿄고쿠 타카히코",98297,98297
"934","쿠엔틴 타란티노",73640,73640
"935","퀴 응우옌",97808,97808
"936","크레이그 조벨",846,846
"937","크레이그 질레스피",989959,989959
"938","크리스 리노드",984810,984810
"939","크리스 버틀러",7746,7746
"940","크리스 벅",9558551,9558551
"941","크리스 샌더스",6402,6402
"942","크리스찬 구드가스트",9945,9945
"943","크리스찬 리버스",72441,72441
"944","크리스찬 하스",8611,8611
"945","크리스토스 니코우",5030,5030
"946","크리스토퍼 놀란",977052,977052
"947","크리스토퍼 랜던",72654,28049.6666666667
"948","크리스토퍼 렌즈",94339,94339
"949","크리스토퍼 맥쿼리",995022,995022
"950","크리스토퍼 젠킨스",72357,72357
"951","크리스토프 라우엔슈타인",9970,7787.5
"952","크리스티안 펫졸드",6392,6392
"953","크리스티앙 볼크만",52115,52115
"954","클레어 맥카시",9739,9739
"955","클로이 자오",702408,355486.5
"956","클린트 이스트우드",96597,96597
"957","키에론 J 월쉬",8929,8929
"958","키이스 토마스",751,751
"959","타니구치 고로",95497,95497
"960","타릭 살레",5882,5882
"961","타마르 반 덴 도프",7923,7923
"962","타무라 코타로",831,831
"963","타이카 와이티티",831818,465556
"964","타일러 닐슨",2245,2245
"965","타치카와 유즈루",90144,90144
"966","타카하시 시게하루",9158,9158
"967","타카하시 와타루",89569,75118.5
"968","타케우치 히데키",9002,9002
"969","탁세웅",8283,8283
"970","테이트 테일러",7159,7159
"971","테일러 쉐리던",47909,47909
"972","토니 밴크로프트",98836,98836
"973","토드 로빈슨",9851,9851
"974","토드 필립스",914028,914028
"975","토드 헤인즈",7379,7379
"976","토르비욘 크리스토퍼센",7643,7643
"977","토마스 맥카시",8238,8238
"978","토마스 베주차",2845,2845
"979","토마스 보덴스타인",9858,9858
"980","토마스 빈터베르그",10805,10309.5
"981","토마스 아스트뤽",7879,7879
"982","토마스 자보",29358,29358
"983","토미 위르콜라",882001,882001
"984","톰 고미칸",2121,2121
"985","톰 도나휴",3615,3615
"986","톰 맥그라스",99410,99410
"987","톰 하퍼",8404,8396
"988","트래비스 나이트",907393,907393
"989","티노 스트럭맨",1005,1005
"990","팀 밀러",6399,6399
"991","팀 버튼",53554,53554
"992","팀 스토리",91333,91333
"993","팀 힐",8010,8010
"994","파벨 파블리코브스키",11284,11284
"995","파블로 라라인",76353,76353
"996","파커 핀",98382,98382
"997","파코 카베자스",1250,1250
"998","팍품 웡품",6723,6723
"999","패트릭 휴즈",74261,40836.5
"1000","팻티 젠킨스",92423,92423
"1001","페드 알바레즈",6148,6148
"1002","페드로 알모도바르",8664,7388
"1003","페이튼 리드",706595,706595
"1004","펠릭스 반 그뢰닝엔",4917,4917
"1005","폴 W.S. 앤더슨",98051,98051
"1006","폴 킹",80514,80514
"1007","폴 토마스 앤더슨",9448,9448
"1008","폴 페이그",96567,79201
"1009","표도르 본다르추크",9742,9742
"1010","프란 크랜즈",6602,6602
"1011","프란시스 로렌스",94790,94790
"1012","프란시스 포드 코폴라",2636,2636
"1013","프랑수아 오종",6345,6345
"1014","프랭크 모스볼드",850,850
"1015","프랭키 첸",8588,8588
"1016","플로리안 젤러",8492,8492
"1017","피에르 모렐",9162,9162
"1018","피에르 페리펠",9598,9598
"1019","피에르 프랑소와 마틴 라발",5652,5652
"1020","피에트로 마르첼로",9937,9937
"1021","피터 램지",92159,92159
"1022","피터 레페니오티스",58604,58604
"1023","피터 버그",59282,59282
"1024","피터 시걸",6535,6535
"1025","피터 패럴리",99569,99569
"1026","피터 허칭스",10716,10716
"1027","피터 헤지스",8991,8991
"1028","피트 닥터",975818,975818
"1029","필감성",908440,908440
"1030","필리프 라슈",6334,6334
"1031","필리프 팔라도",9244,9244
"1032","필립 귀엔",2654,2654
"1033","필립 립스키",89577,89577
"1034","필립파 로소프",7883,7883
"1035","하나부사 츠토무",8841,8841
"1036","하디 모하메디안",6537,6537
"1037","하마구치 류스케",9451,9275.5
"1038","하비에르 페서",3483,3483
"1039","하시모토 마사카즈",99148,99148
"1040","하시모토 하지메",6016,6016
"1041","하시모토 히로유키",6659,6659
"1042","하우메 발라게로",9801,9801
"1043","하원준",12040,12040
"1044","하윤재",6253,6253
"1045","하코타 유코",8442,8442
"1046","한상호",545789,545789
"1047","한스 페터 몰란트",90305,90305
"1048","한승우",6997,6997
"1049","한재림",764753,764753
"1050","한준희",963002,963002
"1051","한톈",6860,6860
"1052","한현석",1409,1409
"1053","허버트 베일란드",6635,6635
"1054","허인무",71453,71453
"1055","허종호",717497,717497
"1056","허준형",5079,5079
"1057","허진호",965624,965624
"1058","헤 질리",99831,52254.5
"1059","헬레네 지라드",29358,29358
"1060","호세 젤라다",6190,6190
"1061","호소다 마모루",91181,50446
"1062","홍기선",78168,78168
"1063","홍상수",5580,2983.5
"1064","홍석구",8355,8355
"1065","홍성은",8979,8979
"1066","홍성호",811538,811538
"1067","홍승완",97693,97693
"1068","홍원기",99812,99812
"1069","홍원찬",953813,481118.5
"1070","홍은미",9169,9169
"1071","홍의정",73395,73395
"1072","홍준표",98744,98744
"1073","홍지영",765,765
"1074","홍창표",983814,983814
"1075","홍태선",5173,5173
"1076","홍헌표",17689,17689
"1077","황승재",594,594
"1078","황인호",9487,9487
"1079","황천인",4173,4173
"1080","후안 안토니오 바요나",5648970,5648970
"1081","후지타 하루카",1889,1889
"1082","히라야마 미호",7301,7301
"1083","히라카와 유이치로",807,807
"1084","히로 타카시마",9216,9216
"1085","히로키 류이치",97334,97334
"1086","히시다 마사카즈",3189,1722
