"","companyNm","Freq"
"190","(주)에스와이코마드",1
"191","(주)에스피오 엔터테인먼트코리아",5
"192","(주)에이디사공육",2
"193","(주)에이스메이커무비웍스",11
"194","(주)에이썸엔터테인먼트",2
"195","(주)에이원엔터테인먼트",7
"196","(주)에이치에스이디",1
"197","(주)에이치에이케이프로덕션",1
"198","(주)에코필름",1
"199","(주)에픽캔",1
"200","(주)엔케이컨텐츠",22
"201","(주)엘지유플러스",1
"202","(주)엠라인디스트리뷰션",43
"203","(주)엠씨엠씨",7
"204","(주)엠제이픽쳐스",1
"205","(주)엠픽처스",1
"206","(주)엣나인필름",18
"207","(주)연필로명상하기",1
"208","(주)영화공간",1
"209","(주)영화사 궁",1
"210","(주)영화사 그램",6
"211","(주)영화사 금월",2
"212","(주)영화사 담담",1
"213","(주)영화사 륙",1
"214","(주)영화사 빅",11
"215","(주)영화사 사계절",1
"216","(주)영화사 설렘",1
"217","(주)영화사 안다미로",9
"218","(주)영화사 업",1
"219","(주)영화사 월광",4
"220","(주)영화사 진진",21
"221","(주)영화사 필",1
"222","(주)영화사 필름몬스터",1
"223","(주)영화사두둥",3
"224","(주)영화사레드피터",6
"225","(주)영화사메이플러스",1
"226","(주)영화사바른",3
"227","(주)영화사벌집",1
"228","(주)영화사비단길",1
"229","(주)영화사선",2
"230","(주)영화사수박",1
"231","(주)영화사수작",1
"232","(주)영화사심플렉스",1
"233","(주)영화사연",1
"234","(주)영화사오원",9
"235","(주)영화사울림",3
"236","(주)영화사장춘",1
"237","(주)영화사조아",1
"238","(주)영화사지음",1
"239","(주)영화사진",2
"240","(주)영화사채움",1
"241","(주)영화사테이크",2
"242","(주)영화사피어나",1
"243","(주)영화제작전원사 ",4
"244","(주)영화특별시에스엠씨",16
"245","(주)오돌또기 ",1
"246","(주)오아시스이엔티",2
"247","(주)오콘",3
"248","(주)올스타엔터테인먼트",9
"249","(주)와이웍스엔터테인먼트",2
"250","(주)와이제이글로벌그룹",1
"251","(주)와이지엔터테인먼트",2
"252","(주)왝더독",1
"253","(주)외유내강",6
"254","(주)용필름",3
"255","(주)우성엔터테인먼트",7
"256","(주)원픽쳐스",2
"257","(주)월드시네마",2
"258","(주)위지윅스튜디오",1
"259","(주)유앤정필름 ",1
"260","(주)이놀미디어",9
"261","(주)이대희 애니메이션스튜디오",1
"262","(주)이디오플랜",1
"263","(주)이수C&E",31
"264","(주)이에스픽쳐스",1
"265","(주)인디플러그",3
"266","(주)인벤트스톤",1
"267","(주)인사이트필름",1
"268","(주)인터파크",24
"269","(주)일레븐엔터테인먼트",2
"270","(주)재크필름",1
"271","(주)전망좋은 영화사",1
"272","(주)제이브로",4
"273","(주)제이앤씨미디어그룹",54
"274","(주)제이엠컬쳐스",1
"275","(주)제이와이피엔터테인먼트",1
"276","(주)제이와이피픽쳐스",1
"277","(주)제이지픽쳐스",1
"278","(주)제이케이필름",5
"279","(주)제이콘컴퍼니",1
"280","(주)젠픽쳐스",1
"281","(주)조이래빗",3
