"","peopleNm","Freq"
"270","리슬 타미",1
"271","리양우",1
"272","리차드 링클레이터",1
"273","리차드 이어",1
"274","리처드 라니",1
"275","리처드 클라우스",2
"276","리처드 펠런",1
"277","리치 무어",1
"278","릭 로먼 워",3
"279","린-마누엘 미란다",1
"280","린 사우더랜드",1
"281","마누엘 J. 가르시아",1
"282","마렉 베네슈",1
"283","마르잔 사트라피",1
"284","마르탱 부르불롱",1
"285","마리나 네페도바",1
"286","마리아 소달",1
"287","마리아 슈라더",1
"288","마이크 데블린",1
"289","마이크 미첼",1
"290","마이크 밀스",1
"291","마이크 플래너건",1
"292","마이클 노어",1
"293","마이클 도허티",1
"294","마이클 마키마인",1
"295","마이클 메이슨",1
"296","마이클 메일러",1
"297","마이클 베이",1
"298","마이클 수지",1
"299","마이클 슈왈츠",1
"300","마이클 알메레이다",1
"301","마이클 차베즈",2
"302","마츠모토 소우시",1
"303","마츠타니 미츠에",1
"304","마커스 하먼",1
"305","마크 J. 프란시스",1
"306","마크 먼든",1
"307","마크 미로드",1
"308","마크 스티븐 존슨",1
"309","마크 윌리엄스",2
"310","마크 포스터",1
"311","마키타 카오리",1
"312","마티아스 마르지유",1
"313","마틴 맥도나",1
"314","마틴 슈라이어",1
"315","마틴 스코세이지",1
"316","마틴 캠벨",2
"317","마틴 코틱",1
"318","막심 볼코브",1
"319","막심 파디브",1
"320","말콤 D. 리",1
"321","매니 에르난데스",1
"322","매튜 본",1
"323","맥스 바버카우",1
"324","맥스 퍼그",1
"325","맷 리브스",1
"326","모홍진",1
"327","문은주",1
"328","미겔 앙헬 비바스",1
"329","미미 레더",1
"330","미야자키 고로",1
"331","미이케 다카시",2
"332","미즈노 시게노리",1
"333","미즈시마 츠토무",2
"334","미츠나카 스스무",4
"335","미키 코이치로",1
"336","미키 타카히로",3
"337","민규동",1
"338","민환기",1
"339","바딤 피얼먼",1
"340","바실리 로벤스키",1
"341","바이론 하워드",1
"342","바즈 루어만",1
"343","박강아름",1
"344","박경목",1
"345","박규태",1
"346","박근영",1
"347","박기복",1
"348","박누리",1
"349","박대민",1
"350","박대원",1
"351","박동훈",1
"352","박루슬란",1
"353","박상용",1
"354","박상현",1
"355","박선주",1
"356","박성후",1
"357","박수진",1
"358","박영균",1
"359","박용집",1
"360","박이웅",1
"361","박재석",1
"362","박정배",1
"363","박제범",1
"364","박준수",3
"365","박지완",1
"366","박진영",1
"367","박찬욱",1
"368","박혜령",1
"369","박호찬",1
"370","박훈정",2
"371","박흥식",1
"372","박희곤",1
"373","반종 피산다나쿤",1
"374","발디마르 요한손",1
"375","발레리 페리스",1
"376","발타자르 코루마쿠르",2
"377","밥 퍼시케티",1
"378","방수인",1
"379","배종대",1
"380","백승환",2
"381","백재호",1
"382","베리 쿡",1
"383","벤 루윈",1
"384","벤 스타센",2
"385","벤 제틀린",1
"386","변규리",1
"387","변성현",1
"388","변영규",2
"389","변혁",1
"390","변희선",1
"391","볼프강 페터젠",1
"392","봉준영",1
"393","봉준호",1
"394","브라이언 싱어",1
"395","브라이언 핸슨",1
"396","브래드 버드",1
"397","브래드 페이튼",1
"398","브래들리 쿠퍼",1
"399","브리짓 부이요",1
"400","비나약 다스",1
"401","비보 베르즈롱",1
"402","비욘 룬게",1
"403","빅터 아즈에프",1
"404","빌 콘돈",1
"405","빌 홀더먼",1
"406","빌랄 팔라",1
"407","빔 벤더스",1
"408","사라 스미스",1
"409","사이먼 킨버그",2
"410","사준의",1
"411","사카키바라 모토노리",1
"412","사토 신스케",2
"413","샘 레빈",1
"414","샘 레이미",1
"415","샘 멘데스",1
"416","샤모",1
"417","서동일",1
"418","서럽 밴 오먼",1
"419","서유민",1
"420","서은영",2
"421","서정희",1
"422","서태수",1
"423","세드릭 클래피쉬",1
"424","세르지오 델피노",1
"425","세르지오 맨피오",1
"426","셀린 시아마",5
"427","션 베이커",1
"428","션 헤이더",1
"429","소륜",1
"430","소준문",1
"431","소토자키 하루오",6
"432","소피 드라스프",1
"433","손석우",1
"434","손용호",1
"435","손원평",1
"436","손재곤",1
"437","송경용",1
"438","송상민",1
"439","송요한",1
"440","송운",1
"441","송원근",1
"442","송정율",2
"443","송창용",1
"444","수잔나 포겔",1
"445","순 하이펑",1
"446","쉐인 블랙",1
"447","스도 토모노리",2
"448","스벤 운터발트 주니어",1
"449","스에자와 케이",1
"450","스콧 데릭슨",1
"451","스콧 만",1
"452","스콧 모시어",1
"453","스콧 무어",1
"454","스콧 스피어",1
"455","스콧 쿠퍼",1
"456","스탠리 투치",1
"457","스테파노 솔리마",1
"458","스티븐 S. 드나이트",1
"459","스티븐 개건",1
"460","스티븐 바우터루드",1
"461","스티븐 소더버그",1
"462","스티븐 쉬블",1
"463","스티븐 스필버그",3
"464","스티븐 크보스키",1
"465","시멘 알스빅",1
"466","시미즈 준지",1
"467","시바타 히로키",1
"468","시즈노 코분",1
"469","신보 아키유키",1
"470","신상민",1
"471","신수원",2
"472","신연식",1
"473","신우",2
"474","신재호",1
"475","신정원",1
"476","신준영",1
"477","신창환",1
"478","신카이 마코토",1
"479","심덕근",1
"480","심재희",1
"481","아그네츠카 홀란드",1
"482","아나 로샤",1
"483","아녜스 바르다",1
"484","아니쉬 차간티",2
"485","아담 랜달",1
"486","아담 맥케이",2
"487","아담 윈가드",1
"488","아딜 엘 아르비",1
"489","아라이 카즈토",1
"490","아론 우들리",1
"491","아르나드 부롱",1
"492","아르니 올라푸르 아스게이르손",1
"493","아리 산델",1
"494","아리 애스터",2
"495","아비 콘",1
"496","아시프 카파디아",1
"497","아이리스 심",1
"498","아틀 솔버그 블락세트",1
"499","안노 히데아키",1
"500","안드레스 무시에티",1
"501","안드레스 코투리어",1
"502","안드레아 블록",1
"503","안소니 루소",3
"504","안소니 파비안",1
"505","안재훈",1
"506","안태진",1
"507","안토닌 보드리",1
"508","안톤 메거딕체브",1
"509","안톤 크링스",1
"510","알렉산더 아야",1
"511","알렉산더 페인",1
"512","알렉상드르 아스티에",1
"513","알렉세이 트시칠린",2
"514","알렉스 가랜드",1
"515","알렉스 스타더만",1
"516","알리 아바시",1
"517","알트욤 루키체프",1
"518","알폰소 고메즈-레존",1
"519","애너 보든",1
"520","애덤 로비텔",3
"521","애드리언 그런버그",1
"522","애론 우들리",1
"523","애슐리 해밀턴",1
"524","앤더스 마테센",1
"525","앤더스 토머스 옌센",1
"526","앤드류 어윈",2
"527","앤드류 존스",1
"528","앤드류 코헨",1
"529","앤드류 하얏트",1
"530","앤디 서키스",2
"531","앤소니 마라스",1
"532","앨리스 블레하트",1
"533","앨버트 반 스트리엔",1
"534","앵거스 맥클레인",1
"535","야기 류이치",1
"536","야누스 메츠",1
"537","야마구치 스스무",1
"538","야마구치 히카루",1
"539","야마다 나오코",1
"540","야마모토 야스이치로",3
"541","야마모토 키요시",1
"542","야마자키 타카시",1
"543","야지마 테츠오",2
"544","야쿱 론스키",1
"545","양우석",2
"546","양정웅",1
"547","양종현",1
"548","어텀 드 와일드",1
"549","엄유나",1
"550","엄준영",1
"551","에드가 라이트",1
"552","에드워드 양",2
"553","에릭 라티고",1
"554","에릭 브레스",1
"555","에릭 토레다노",1
"556","에릭 토스티",1
"557","에반 트라멜",1
"558","엔리코 카사로사",1
"559","엠마누엘 산도발",1
"560","연상호",3
"561","엽위신",1
"562","예고르 바라노프",1
"563","오드리 디완",1
"564","오성윤",1
"565","오세연",1
"566","오오모리 타카히로",1
"567","오원재",1
"568","오윤동",8
"569","오즈 퍼킨스",1
"570","오카다 마리",1
"571","오토 바서스트",1
"572","옥타비오 E. 로드리게즈",1
"573","올 파커",2
"574","올더디센 하노",1
"575","올레말라므",1
"576","올리버 달리",1
"577","올리비아 뉴먼",1
"578","올리비아 와일드",1
"579","올리비에르 나카체",1
"580","요르겐 레르담",1
"581","요르고스 란티모스",2
"582","요아킴 뢰닝",1
"583","요아킴 트리에",1
"584","요정정",1
"585","요하네스 로버츠",2
"586","용수",1
"587","우디 앨런",1
"588","우메츠 토모미",2
"589","우민호",2
"590","우베르토 파솔리니",1
"591","우시로 신지",1
"592","우시지마 신이치로",1
"593","우에다 신이치로",1
"594","우테 폰 뮌쇼폴",1
"595","울프강 라우엔슈타인",2
"596","워시 웨스트모어랜드",1
"597","원금린",1
"598","원신연",1
"599","원종식",1
"600","원호연",1
"601","월트 도른",1
"602","월트 벡커",1
"603","웨스 볼",1
"604","웨스 앤더슨",2
"605","위고 젤랭",1
"606","위르겐 플림",1
"607","위타야 통유용",1
"608","윌 글럭",1
"609","윌 베처",1
"610","윌리엄 니콜슨",1
"611","윌리엄 브렌트 벨",1
"612","윌리엄 유뱅크",1
"613","유발 애들러",1
"614","유선동",1
"615","유아사 마사아키",1
"616","유야마 쿠니히코",3
"617","유영선",1
"618","유재운",1
"619","유하",1
"620","육상효",1
"621","윤가은",1
"622","윤단비",1
"623","윤성준",1
"624","윤영빈",1
"625","윤은경",1
"626","윤재근",1
"627","윤제균",1
"628","윤제완",1
"629","윤종빈",1
"630","윤종석",1
"631","윤준상",1
"632","윤창모",1
"633","윤창섭",1
"634","음정현",1
"635","이가라시 타쿠야",1
"636","이경섭",1
"637","이계벽",1
"638","이권",1
"639","이규만",1
"640","이나 예블라니코바",2
"641","이대희",1
"642","이돈구",1
"643","이동은",1
"644","이라 카르페란",1
"645","이란희",1
"646","이마이 카즈아키",2
"647","이마이즈미 리키야",1
"648","이미영",1
"649","이민재",1
"650","이병헌",2
"651","이상근",1
"652","이상문",1
"653","이상용",1
"654","이상헌",1
"655","이상호",1
"656","이석근",1
"657","이석훈",1
"658","이선명",2
"659","이성강",1
"660","이성재",1
"661","이성태",1
"662","이성한",1
"663","이수정",1
"664","이수진",1
"665","이순성",1
"666","이슬기",1
"667","이승수",1
"668","이승원",1
"669","이승준",3
"670","이시다 히로야스",1
"671","이시다테 타이치",1
"672","이시이 유야",1
"673","이시하라 타츠야",1
"674","이안",1
"675","이언희",1
"676","이연우",1
"677","이영준",2
"678","이예지",1
"679","이와이 슌지",1
"680","이용남",1
"681","이용주",1
"682","이우정",1
"683","이원태",1
"684","이인의",1
"685","이일하",1
"686","이일형",1
"687","이장훈",2
"688","이재규",1
"689","이정곤",1
"690","이정국",1
"691","이정범",1
"692","이정재",1
"693","이정호",1
"694","이제한",1
"695","이조훈",1
"696","이종석",1
"697","이종언",1
"698","이종필",1
"699","이준익",2
"700","이지나",1
"701","이지원",2
"702","이진호",1
"703","이창근",1
"704","이창동",1
"705","이창원",1
"706","이창희",1
"707","이철하",1
"708","이춘백",1
"709","이치엔",1
"710","이태겸",1
"711","이토 히데키",1
"712","이한",1
"713","이한욱",1
"714","이한종",1
"715","이해영",2
"716","이해준",1
"717","이혁래",1
"718","이호경",1
"719","이환",1
"720","이환경",1
"721","일라이 로스",1
"722","일래인 보겐",1
"723","일리야 나이슐러",1
"724","임경택",1
"725","임대형",1
"726","임성관",1
"727","임순례",1
"728","임준현",1
"729","임진순",2
"730","임효겸",1
"731","자레드 부시",1
"732","자레드 스턴",1
"733","자비에 돌란",1
"734","자움 콜렛 세라",3
"735","자코 아키후미",1
"736","장-프랑소와 리셰",1
"737","장 피에르 다르덴",1
"738","장 필립 바인",1
"739","장규성",1
"740","장률",1
"741","장양",1
"742","장영주",1
"743","장예모",1
"744","장유정",2
"745","장재일",1
"746","장재현",1
"747","장적사",1
"748","장철수",1
"749","저스틴 린",1
"750","저스틴 밸도니",1
"751","전계수",1
"752","전고운",1
"753","전수경",1
"754","전우성",1
"755","전재홍",1
"756","정가영",1
"757","정관조",1
"758","정길훈",1
"759","정다원",1
"760","정량",1
"761","정미화",1
"762","정범식",1
"763","정세교",1
"764","정수이",1
"765","정승원",1
"766","정용주",1
"767","정욱",1
"768","정윤수",1
"769","정윤철",1
"770","정이삭",1
"771","정인봉",1
"772","정재익",1
"773","정지연",1
"774","정지영",1
"775","정지우",1
"776","정진영",1
"777","정허덕재",1
"778","정혁기",1
"779","정형민",1
"780","제니 게이지",1
"781","제니퍼 리",1
"782","제니퍼 웨스트콧",1
"783","제니퍼 켄트",1
"784","제라드 부시",1
"785","제레미 드그루손",1
"786","제이 로치",1
"787","제이슨 라이트맨",2
"788","제이슨 레이 하우덴",1
"789","제이알",1
"790","제이콥 체이스",1
"791","제이크 캐스단",2
"792","제임스 건",1
"793","제임스 그레이",2
"794","제임스 넌",1
"795","제임스 다시",1
"796","제임스 맨골드",1
"797","제임스 완",2
"798","제임스 카메론",2
"799","제임스 콕스",1
"800","제임스 쿨렌 브레삭",1
"801","제임스 파우웰",1
"802","제임스 폴리",1
