,movie,score,audience,score_edited,aud_edited,avg score,avg aud
643,['우리의 20세기'],['8.44'],['3.5만명'],[8.44],[35000.0],8.44,35000.0
644,['월플라워'],['9.09'],['1.7만명'],[9.09],[17000.0],9.09,17000.0
645,['언어의 정원'],['2013.08.14.'],['8.91'],[0],0,0.0,0.0
646,['오오단편극장 - 이학주 배우전'],['missing data'],['missing data'],0,0,0.0,0.0
647,['새출발'],['missing data'],['missing data'],0,0,0.0,0.0
648,['히트'],['9.30'],['missing data'],[9.3],0,9.3,0.0
649,['맛있는 녀석들'],['5.13'],"['3,279명']",[5.13],[3279.0],5.13,3279.0
650,['박화영'],['8.85'],"['5,981명']",[8.85],[5981.0],8.85,5981.0
651,['딥씨 챌린지'],['8.33'],"['1,369명']",[8.33],[1369.0],8.33,1369.0
652,[],0,0,0,0,0.0,0.0
653,['박열'],['8.48'],['235만명'],[8.48],[2350000.0],8.48,2350000.0
654,['좀비크러쉬: 헤이리'],['4.75'],['897명'],[4.75],[897.0],4.75,897.0
655,['색화동'],['missing data'],['missing data'],0,0,0.0,0.0
656,['나를 만나는 길'],['8.17'],['1.1만명'],[8.17],[11000.0],8.17,11000.0
657,['23 아이덴티티'],['7.94'],['167만명'],[7.94],[1670000.0],7.94,1670000.0
658,['유령선'],['missing data'],['missing data'],0,0,0.0,0.0
659,[],0,0,0,0,0.0,0.0
660,['킬링 디어'],['8.30'],['6만명'],[8.3],[60000.0],8.3,60000.0
661,['더 트로이'],['missing data'],['missing data'],0,0,0.0,0.0
662,['무스탕 가는 길'],['missing data'],['missing data'],0,0,0.0,0.0
663,[],0,0,0,0,0.0,0.0
664,['극장판 위 베어 베어스: 곰 브라더스'],['7.65'],['3.2만명'],[7.65],[32000.0],7.65,32000.0
665,['대장 김창수'],['missing data'],['missing data'],0,0,0.0,0.0
666,['국경의 왕'],['7.96'],"['2,126명']",[7.96],[2126.0],7.96,2126.0
667,['반지의 제왕 : 반지원정대'],['9.84'],['소설'],[9.84],0,9.84,0.0
668,['귀멸의 칼날: 나타구모산 편'],['8.27'],['4.4만명'],[8.27],[44000.0],8.27,44000.0
669,['7번방의 선물'],['8.83'],"['1,281만명']",[8.83],[12810000.0],8.83,12810000.0
