"","companyNm","mean_audiAcc"
"170","(주)아우라픽처스",7680
"171","(주)아이뉴컴퍼니",99130
"172","(주)아이디어랩",373
"173","(주)아이에이치큐",9846
"174","(주)아이엠비씨",7666
"175","(주)아이필름코퍼레이션",96415
"176","(주)아지트필름",409953
"177","(주)아토",7994.5
"178","(주)아티스트스튜디오",846
"179","(주)아펙스 엔터테인먼트",19636
"180","(주)안나푸르나필름",491734
"181","(주)알앤오엔터테인먼트",9128
"182","(주)애니플러스",6700.95
"183","(주)어뉴",956471
"184","(주)어바웃잇",3492925.33333333
"185","(주)얼리버드픽쳐스",19546.8571428571
"186","(주)에스에스애니멘트 ",99387
"187","(주)에스에이치엔터테인먼트그룹",6226
"188","(주)에스엠 컬처앤콘텐츠",3453
"189","(주)에스엠엔터테인먼트",52940
"190","(주)에스와이코마드",9359
"191","(주)에스피오 엔터테인먼트코리아",3913.6
"192","(주)에이디사공육",4947
"193","(주)에이스메이커무비웍스",273844.090909091
"194","(주)에이썸엔터테인먼트",1365
"195","(주)에이원엔터테인먼트",16616.8571428571
"196","(주)에이치에스이디",59028
"197","(주)에이치에이케이프로덕션",8591
"198","(주)에코필름",953925
"199","(주)에픽캔",14943
"200","(주)엔케이컨텐츠",9274.90909090909
"201","(주)엘지유플러스",72618
"202","(주)엠라인디스트리뷰션",104336.209302326
"203","(주)엠씨엠씨",256083.142857143
"204","(주)엠제이픽쳐스",45640
"205","(주)엠픽처스",73362
"206","(주)엣나인필름",17422.4444444444
"207","(주)연필로명상하기",4520
"208","(주)영화공간",5006
"209","(주)영화사 궁",47544
"210","(주)영화사 그램",33677.1666666667
"211","(주)영화사 금월",816119.5
"212","(주)영화사 담담",989649
"213","(주)영화사 륙",9846
"214","(주)영화사 빅",13115.3636363636
"215","(주)영화사 사계절",3354
"216","(주)영화사 설렘",7933
"217","(주)영화사 안다미로",8161
"218","(주)영화사 업",77926
"219","(주)영화사 월광",534897
"220","(주)영화사 진진",7635.33333333333
"221","(주)영화사 필",2396
"222","(주)영화사 필름몬스터",974119
"223","(주)영화사두둥",325537.333333333
"224","(주)영화사레드피터",339545.166666667
"225","(주)영화사메이플러스",6213
"226","(주)영화사바른",238612.666666667
"227","(주)영화사벌집",9576
"228","(주)영화사비단길",712124
"229","(주)영화사선",50947.5
"230","(주)영화사수박",909273
"231","(주)영화사수작",926149
"232","(주)영화사심플렉스",88515
"233","(주)영화사연",982519
"234","(주)영화사오원",15103.6666666667
"235","(주)영화사울림",57994
"236","(주)영화사장춘",86468
"237","(주)영화사조아",9100
"238","(주)영화사지음",8457
"239","(주)영화사진",7469
"240","(주)영화사채움",81721
"241","(주)영화사테이크",53843
"242","(주)영화사피어나",969018
"243","(주)영화제작전원사 ",2983.5
"244","(주)영화특별시에스엠씨",16725
"245","(주)오돌또기 ",9639
"246","(주)오아시스이엔티",38978.5
"247","(주)오콘",307456
"248","(주)올스타엔터테인먼트",135696.222222222
"249","(주)와이웍스엔터테인먼트",402640
"250","(주)와이제이글로벌그룹",705
"251","(주)와이지엔터테인먼트",7699
"252","(주)왝더독",9837
"253","(주)외유내강",2011236.66666667
"254","(주)용필름",665713.333333333
"255","(주)우성엔터테인먼트",66556.7142857143
"256","(주)원픽쳐스",39019
"257","(주)월드시네마",40182.5
"258","(주)위지윅스튜디오",9756
"259","(주)유앤정필름 ",861
"260","(주)이놀미디어",13737.4444444444
"261","(주)이대희 애니메이션스튜디오",5934
"262","(주)이디오플랜",894025
"263","(주)이수C&E",41560.7419354839
"264","(주)이에스픽쳐스",7167
"265","(주)인디플러그",13831.6666666667
"266","(주)인벤트스톤",9847
"267","(주)인사이트필름",80572
"268","(주)인터파크",19250.3333333333
"269","(주)일레븐엔터테인먼트",8536.5
"270","(주)재크필름",6200
"271","(주)전망좋은 영화사",953925
"272","(주)제이브로",4105.75
"273","(주)제이앤씨미디어그룹",54231.7407407407
"274","(주)제이엠컬쳐스",85289
"275","(주)제이와이피엔터테인먼트",6370
"276","(주)제이와이피픽쳐스",7639
"277","(주)제이지픽쳐스",60426
"278","(주)제이케이필름",743072.6
"279","(주)제이콘컴퍼니",1131
"280","(주)젠픽쳐스",5079
"281","(주)조이래빗",355689
"282","(주)좋은 하늘",9888
"283","(주)주피터필름",581525.666666667
"284","(주)준필름",4871.5
"285","(주)중헌홀딩스",7291
"286","(주)지오필름",71453
"287","(주)지이프로덕션",17236
"288","(주)지티지그룹",6916
"289","(주)찰나",4274
"290","(주)초이락미디어",93037
"291","(주)초이락컨텐츠컴퍼니",93037
"292","(주)초이락컨텐츠팩토리",221439.8
"293","(주)칵테일 미디어",76405
"294","(주)캠프엔터테인먼트",207448.5
"295","(주)컴퍼니엘",9015
"296","(주)케빈앤컴퍼니",16223
"297","(주)케이드래곤",5252
"298","(주)케이티알파",35710.8928571429
"299","(주)케이퍼필름",996161
"300","(주)켈빈클레인프로젝트",72082
"301","(주)코코너",954070
"302","(주)코코믹스 ",45640
"303","(주)콘텐츠게이트",22774
"304","(주)콘텐츠지",81721
"305","(주)콘텐츠지오",974119
"306","(주)콘텐츠판다",201814.039215686
"307","(주)콘텐츠패밀리",9110.66666666667
"308","(주)쿠키픽쳐스",53214
"309","(주)크레이지버드스튜디오",5272
"310","(주)크리픽쳐스",45857.5
"311","(주)큰물고기미디어",6034
"312","(주)키다리스튜디오",49939
"313","(주)키다리이엔티",193141.80952381
"314","(주)키위미디어그룹",196931
"315","(주)키이스트",529851.5
"316","(주)키즈리턴",7447
"317","(주)타임앤드스페이스",22490.75
"318","(주)태양미디어그룹",8010
"319","(주)태원엔터테인먼트",574312.333333333
"320","(주)테이크원스튜디오",9662
"321","(주)토리픽쳐스",96415
"322","(주)트러스트스튜디오",79257
"323","(주)트리니티엔터테인먼트",8565
"324","(주)트리니티픽쳐스",9680
"325","(주)트리플픽쳐스",11969.5882352941
"326","(주)트릭스터",79699
"327","(주)티앤엘엔터테인먼트",19824
"328","(주)티캐스트",6793.25
"329","(주)티피에스컴퍼니",382341.666666667
"330","(주)팀원픽쳐스",6377.8
"331","(주)파란오이",9044
"332","(주)파이브데이",59397
"333","(주)파인스토리",8845
"334","(주)팝엔터테인먼트",17315.6511627907
"335","(주)팬엔터테인먼트",16095
"336","(주)퍼니플럭스",97556
"337","(주)퍼스트런",54318.1
"338","(주)퍼스펙티브픽쳐스",803868
"339","(주)퍼펙트스톰필름",884329.666666667
"340","(주)퍼플스트로우필름",676
"341","(주)페퍼민트앤컴퍼니",444479.25
"342","(주)포스크리에이티브파티",739563
"343","(주)포켓몬코리아",185557.2
"344","(주)푸른나무픽쳐스",980797
"345","(주)플레이그램",3609
"346","(주)피터팬픽쳐스",1640
"347","(주)필름295",8921
"348","(주)필름모멘텀",926765
"349","(주)필름몬스터",739563
"350","(주)필름봉옥",939256
"351","(주)필름케이",2572389
"352","(주)하얀소엔터테인먼트",3395
"353","(주)하이라이트픽쳐스",9413
"354","(주)하이브",53898
"355","(주)하이브미디어코프",693376.555555556
"356","(주)하이스트레인저",17280.375
"357","(주)해오름이앤티",9232
"358","(주)헤이데이필름컴퍼니",5939.5
"359","(주)홈초이스",78350.6470588235
"360","(주)홍시쥔",8465
"361","(주)홍필름",2709900.25
"362","(주)화인컷",231820.048780488
"363","(주)훈프로",810
"364","(주)히스토리필름",34443.2857142857
"365","CGV ICECON",67304.7142857143
"366","CGV아트하우스",93939.8823529412
"367","CJ ENM",2302361.52941176
"368","KBS",22381.4
"369","KBS 미디어",6814.5
"370","M&M 인터내셔널",5782.25
"371","SK 브로드밴드",9169
"372","TBC",18765
"373","TCO(주)더콘텐츠온",122960.133333333
"374","THE 픽쳐스",5642
"375","가톨릭문화원 ALMA ART",9378
"376","강천산 픽쳐스",1100
"377","경기영상위원회",97564
"378","광화문시네마",5794
"379","굿인스토리",2141
"380","그리고픽처스",847145
"381","그린나래미디어(주)",21922.075
"382","글뫼 주식회사",9359
"383","꿀잼컴퍼니(주)",59397
"384","나로픽처스(주)",64746
"385","나우필름(주)",78316.5
"386","네이버웹툰 주식회사",84137
"387","넷플릭스서비시스코리아 유한회사",13973.25
"388","노바엔터테인먼트 ",823
"389","다이스필름(주)",92908
"390","단테미디어랩",97564
"391","대쉬 필름",1100
"392","대원미디어(주)",34877.25
"393","더램프(주)",941979
"394","더핑크퐁컴퍼니(주)",7912.5
"395","동우에이앤이(주)",1722
"396","두물머리픽쳐스",968
"397","드라마하우스(주)",739563
"398","디스트릭 몽",784
"399","라온아이(주)",1024
"400","라이브(주)",7144
"401","레인주니어 픽쳐스",9062
"402","롯데쇼핑㈜롯데엔터테인먼트",238395.8
"403","롯데컬처웍스(주)롯데엔터테인먼트",720881.469387755
"404","리 공동체 영화사",9506
"405","리드미컬그린(주)",47045
"406","리양필름(주)",224833.666666667
"407","리얼라이즈픽쳐스(주)",4970316
"408","리온픽쳐스(주)",9854
"409","마름모필름",3161
"410","메가박스중앙(주)",38679.4
"411","명필름랩",920
"412","모티브픽쳐스(주)",466174.5
"413","몬순픽쳐스",6845
"414","몬스터유니온",9169
"415","무브먼트",1463
"416","무진영화사",4246
"417","미들",3841
"418","미디어나무",6739
"419","미라지엔터테인먼트",5916.66666666667
"420","미시간벤처캐피탈(주)",290587
"421","민영화사",9378
"422","밀짚모자영화사(주)",93471
"423","반짝반짝영화사(주)",97693
"424","버티고필름",7007
